ref	abbrev	organism	families
pfam08333	DUF1725	Arctocephalus_gazella	LINE/L1
pfam12259	Baculo_F	Myzus_persicae	LTR/Gypsy,DNA/Kobolok-E
cd02901	Macro_Poa1p-like	Myzus_persicae	LTR/Gypsy
cd02749	Macro_SF	Myzus_persicae	LTR/Gypsy
pfam04500	FLYWCH	Myzus_persicae	DNA/MuDR
cd01834	SGNH_hydrolase_like_2	Lacerta_viridis	LINE/CR1
cd10283	MnuA_DNase1-like	Anolis_carolinensis	LINE/RTE-BovB
cd01825	SGNH_hydrolase_peri1	Anolis_carolinensis	LINE/CR1
cd10437	GIY-YIG_HE_I-TevI_like	Anolis_carolinensis	LINE/Penelope
cd18648	CD_Cbx6	Crotalus_viridis_viridis	LTR/Gypsy
cd18961	CD_CEC-4_like	Crotalus_viridis_viridis	LTR/Gypsy
cd18964	chromodomain	Crotalus_viridis_viridis	LTR/Gypsy
cd18639	CD_SUV39H1_like	Crotalus_viridis_viridis	LTR/Gypsy
cd18629	CD2_cpSRP43_like	Crotalus_viridis_viridis	LTR/Gypsy
PRK00236	xerC	Anolis_carolinensis	LTR/Ngaro
cd01192	INT_C_like_3	Anolis_carolinensis	LTR/Ngaro
pfam16297	DUF4939	Anolis_carolinensis	LTR/Gypsy
pfam01541	GIY-YIG	Paroedura_picta	LINE/Penelope
cd01188	INT_RitA_C_like	Anolis_carolinensis	LTR/DIRS
pfam17182	OSK	Varanus_komodoensis	LINE/CR1
cd01836	FeeA_FeeB_like	Varanus_komodoensis	LINE/CR1
cd18640	CD_Chro-like	Anolis_carolinensis	LTR/Gypsy
pfam10865	DUF2703	Anolis_carolinensis	LINE/RTE-BovB
pfam00657	Lipase_GDSL	Anolis_carolinensis	LINE/CR1
cd09083	EEP-1	Anolis_carolinensis	LINE/L1
cd18663	CD2_tandem_CHD5-9_like	Thermophis_baileyi	LTR/Gypsy
NF033546	transpos_IS21	Emydocephalus_ijimae	LTR/Gypsy
pfam02796	HTH_7	Emydocephalus_ijimae	DNA/TcMar-Tc1
pfam13551	HTH_29	Emydocephalus_ijimae	DNA/TcMar-Tc1
TIGR03698	clan_AA_DTGF	Pseudonaja_textilis	LTR/Gypsy
cd15528	PHD1_PHF10	Laticauda_colubrina	LINE/CR1
cd00569	HTH_Hin_like	Laticauda_laticaudata	DNA/TcMar-Tc1
cd01184	INT_C_like_1	Anolis_carolinensis	LTR/DIRS
smart00418	HTH_ARSR	Laticauda_laticaudata	DNA/TcMar-Tc1
cd00090	HTH_ARSR	Laticauda_laticaudata	DNA/TcMar-Tc1
COG2522	COG2522	Laticauda_laticaudata	DNA/TcMar-Tc1
smart00421	HTH_LUXR	Thermophis_baileyi	DNA/TcMar-Tc1
smart00351	PAX	Pogona_vitticeps	DNA/TcMar-Tc1
cd00131	PAX	Salvator_merianae	DNA/TcMar-Tc1
cd21576	KLF14_N	Emydocephalus_ijimae	LTR/DIRS
cd15593	PHD3_KMT2B	Emydocephalus_ijimae	LINE/CR1
PRK05421	PRK05421	Sphenodon_punctatus	LINE/RTE-X
cd18636	CD_Chp1_like	Gekko_japonicus	LTR/Gypsy
cd18637	CD_Swi6_like	Gekko_japonicus	LTR/Gypsy
cd01830	XynE_like	Paroedura_picta	LINE/CR1
PRK07764	PRK07764	Gekko_japonicus	LTR/DIRS
cd01838	Isoamyl_acetate_hydrolase_like	Paroedura_picta	LINE/CR1
cd18664	CD2_tandem_ScCHD1_like	Protobothrops_flavoviridis	LTR/Gypsy
cd03769	SR_IS607_transposase_like	Laticauda_laticaudata	LTR/Gypsy
pfam09607	BrkDBD	Laticauda_colubrina	DNA/TcMar-Tc2
cd09079	RgfB-like	Anolis_carolinensis	LINE/L1
COG0717	Dcd	Anolis_carolinensis	LTR/ERVK
cd18963	chromodomain	Sphenodon_punctatus	LTR/Gypsy
cd18662	CD2_tandem_CHD3-4_like	Protobothrops_mucrosquamatus	LTR/Gypsy
pfam13590	DUF4136	Protobothrops_mucrosquamatus	LINE/RTE-BovB
pfam12384	Peptidase_A2B	Protobothrops_mucrosquamatus	LTR/Gypsy
COG3577	COG3577	Protobothrops_mucrosquamatus	LTR/Gypsy
COG2826	Tra8	Sphenodon_punctatus	LTR/Gypsy
cd00798	INT_XerDC_C	Sphenodon_punctatus	LTR/Ngaro
NF033594	transpos_ISNCY_2	Sphenodon_punctatus	LTR/Copia
cd10445	GIY-YIG_bI1_like	Sphenodon_punctatus	LINE/Penelope
COG5082	AIR1	Sphenodon_punctatus	LTR/Copia
cd01822	Lysophospholipase_L1_like	Sphenodon_punctatus	LINE/CR1
sd00036	LRR_3	Paroedura_picta	LINE/L1
pfam13610	DDE_Tnp_IS240	Protobothrops_flavoviridis	LTR/ERVK
cd00221	Vsr	Protobothrops_flavoviridis	DNA/Maverick
COG3021	COG3021	Salvator_merianae	LINE/L1
PHA01707	dut	Pogona_vitticeps	LTR/ERVK
pfam04967	HTH_10	Pogona_vitticeps	DNA/TcMar-Tc1
cd22358	SfsA-like_archaeal	Varanus_komodoensis	LINE/RTE-X
pfam03157	Glutenin_hmw	Lacerta_bilineata	LINE/L2
PTZ00449	PTZ00449	Sphenodon_punctatus	Unknown
COG4974	XerD	LTR/DIRS	Chrysemys_picta_bellii
PRK12495	PRK12495	LTR/DIRS	Chrysemys_picta_bellii
pfam10545	MADF_DNA_bdg	DNA/PIF-Harbinger	Chrysemys_picta_bellii
smart00595	MADF	DNA/PIF-Harbinger	Chrysemys_picta_bellii
cd01709	RT_like_1	LINE/R2-NeSL	Chelonia_mydas
pfam01527	HTH_Tnp_1	DNA/TcMar-Tigger	Chrysemys_picta_bellii
NF033761	gliding_GltJ	LINE/L1-Tx1	Chelonoidis_abingdonii
pfam00336	DNA_pol_viral_C	LTR/Gypsy	Malaclemys_terrapin_terrapin
NF033580	transpos_IS5_3	DNA/PIF-Harbinger	Terrapene_carolina_triunguis
pfam13696	zf-CCHC_2	LTR/Gypsy	Malaclemys_terrapin_terrapin
pfam12776	Myb_DNA-bind_3	DNA/PIF-Harbinger	Gopherus_agassizii
cd01835	SGNH_hydrolase_like_3	LINE/CR1	Platysternon_megacephalum
NF033563	transpos_IS30	LTR/ERVL	Chrysemys_picta_bellii
pfam01527	HTH_Tnp_1	DNA/TcMar-Tigger	Chrysemys_picta_bellii
